station;valid_date;valid_time_new;valid_date_time;tmpf;dwpf;relh;drct;sknt;p01i;alti;mslp;vsby;gust;skyc1;skyc2;skyc3;skyc4;skyl1;skyl2;skyl3;skyl4;wxcodes;ice_accretion_1hr;ice_accretion_3hr;ice_accretion_6hr;peak_wind_gust;peak_wind_drct;peak_wind_time;feel;metar;airport;snowdepth
JFK;02.01.2023;4:51;02.01.2023 04:51;45.00;38.00;76.01;250.00;5.00;0.00;30.04;1017.30;10.00;;OVC;;;;6000.00;;;;;;;;;;;41.83;KJFK 020451Z 25005KT 10SM OVC060 07/03 A3004 RMK AO2 SLP173 T00720033 401330056;JFK;
LGA;02.01.2023;4:51;02.01.2023 04:51;50.00;34.00;53.97;0.00;0.00;T;30.03;1016.70;10.00;;BKN;BKN;;;5500.00;10000.00;;;;;;;;;;50.00;KLGA 020451Z 00000KT 10SM BKN055 BKN100 10/01 A3003 RMK AO2 RAB0354E03 SLP167 P0000 T01000011 401280078;LGA;
JFK;02.01.2023;5:51;02.01.2023 05:51;43.00;37.00;79.19;240.00;4.00;0.00;30.04;1017.10;10.00;;SCT;BKN;;;6500.00;25000.00;;;;;;;;;;40.27;KJFK 020551Z 24004KT 10SM SCT065 BKN250 06/03 A3004 RMK AO2 SLP171 T00610028 10094 20050 58001;JFK;
LGA;02.01.2023;5:51;02.01.2023 05:51;50.00;34.00;53.97;0.00;0.00;0.00;30.02;1016.50;10.00;;SCT;SCT;;;6000.00;12000.00;;;;;;;;;;50.00;KLGA 020551Z 00000KT 10SM SCT060 SCT120 10/01 A3002 RMK AO2 SLP165 60000 T01000011 10111 20083 58002;LGA;
JFK;02.01.2023;6:51;02.01.2023 06:51;43.00;38.00;82.04;230.00;6.00;0.00;30.05;1017.40;10.00;;BKN;OVC;;;4600.00;25000.00;;;;;;;;;;38.78;KJFK 020651Z 23006KT 10SM BKN046 OVC250 06/03 A3005 RMK AO2 SLP174 T00610033;JFK;
LGA;02.01.2023;6:51;02.01.2023 06:51;51.00;36.00;56.10;300.00;6.00;0.00;30.03;1016.80;10.00;;BKN;BKN;;;6000.00;12000.00;;;;;;;;;;51.10;KLGA 020651Z 30006KT 10SM BKN060 BKN120 11/02 A3003 RMK AO2 SLP168 T01060022 $;LGA;
LGA;02.01.2023;7:51;02.01.2023 07:51;50.00;36.00;58.44;290.00;4.00;0.00;30.06;1017.90;10.00;;SCT;SCT;;;6000.00;12000.00;;;;;;;;;;50.00;KLGA 020751Z 29004KT 10SM SCT060 SCT120 10/02 A3006 RMK AO2 SLP179 T01000022 $;LGA;
JFK;02.01.2023;7:51;02.01.2023 07:51;42.00;38.00;84.93;240.00;7.00;0.00;30.08;1018.50;10.00;;SCT;OVC;;;4700.00;23000.00;;;;;;;;;;37.09;KJFK 020751Z 24007KT 10SM SCT047 OVC230 06/03 A3008 RMK AO2 SLP185 T00560033;JFK;
JFK;02.01.2023;8:51;02.01.2023 08:51;39.00;38.00;95.78;240.00;7.00;0.00;30.07;1018.30;10.00;;BKN;;;;22000.00;;;;;;;;;;;33.31;KJFK 020851Z 24007KT 10SM BKN220 04/03 A3007 RMK AO2 SLP183 T00390033 50012;JFK;
LGA;02.01.2023;8:51;02.01.2023 08:51;49.00;35.00;58.75;300.00;5.00;0.00;30.06;1017.90;10.00;;SCT;SCT;;;5000.00;12000.00;;;;;;;;;;46.47;KLGA 020851Z 30005KT 10SM SCT050 SCT120 09/02 A3006 RMK AO2 SLP179 T00940017 51015 $;LGA;
JFK;02.01.2023;9:51;02.01.2023 09:51;41.00;38.00;88.62;250.00;3.00;0.00;30.09;1018.80;10.00;;BKN;;;;22000.00;;;;;;;;;;;38.98;KJFK 020951Z 25003KT 10SM BKN220 05/03 A3009 RMK AO2 SLP188 T00500033;JFK;
